0,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
trench,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
struggl,covid19,9.0,0.530207984149456,0.5674290135502815,9.0,0.6006531938910484,0.56821558624506,0.6313929110765457,0.5125785637646914,0.5241488739848137,0.5211664084345102,0.5159825030714273,0.48581974022090435,0.5586632043123245,0.5199004374444485,0.5518304072320461,0.5504994206130505,0.507316380739212,0.5709772631525993,0.5329352095723152,0.5434103086590767,0.5650962591171265,0.5475369952619076,9.0,9.0,0.6096221655607224,9.0,0.6536318957805634,0.7056212723255157,0.6116345599293709,9.0,0.6875535845756531,9.0,9.0,9.0,0.6264499872922897,0.7708927392959595,9.0,9.0,9.0,0.8006862998008728,9.0,9.0,9.0,9.0,9.0,0.6957332342863083,9.0,0.7998373508453369,0.7639735639095306,0.8646784126758575,0.6805936992168427,9.0
enemi,covid19,9.0,9.0,9.0,9.0,0.49232176039367914,0.49734562635421753,0.49184277653694153,0.5470726266503334,0.5437765270471573,0.5084505956619978,0.5188770517706871,0.5279140025377274,0.5015825536102057,0.489039471372962,0.5488688573241234,0.5067113228142262,0.5104825124144554,0.4874746249988675,9.0,0.4046799913048744,0.5295518338680267,0.49118691496551037,0.4645440876483917,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
die,covid19,0.5239528883248568,0.4564742483198643,0.5650080963969231,0.6148977428674698,0.46404316276311874,0.5238472949713469,0.5483050122857094,0.4904796238988638,0.4237444996833801,0.4685516841709614,0.5359782949090004,0.48749989550560713,0.4569685235619545,0.4790169410407543,0.4353860318660736,0.44613030552864075,0.4673161506652832,0.4593689776957035,0.5471125617623329,0.49822113290429115,0.4960658773779869,0.4906334262341261,0.49492909386754036,0.5697753131389618,0.6184853091835976,0.619585707783699,0.6016251146793365,0.5864599943161011,0.4918084144592285,0.5970840305089951,0.6842240542173386,0.6681898236274719,0.722786158323288,0.5794086530804634,0.6748646199703217,0.7195373177528381,0.5803394466638565,0.6697412431240082,0.7220899760723114,0.7095170021057129,0.7582477033138275,0.7887002825737,0.8536622524261475,0.8582331538200378,0.6929485648870468,0.8107153177261353,0.8823991119861603,0.7944672405719757,0.8957059979438782,0.6943201720714569,0.8751823604106903,0.8381610810756683
fortifi,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
bombard,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
strategi,covid19,9.0,9.0,9.0,9.0,0.4384625516831875,0.5630896985530853,0.5329015254974365,0.4780310560017824,0.4881170867010951,0.5385412722826004,0.5966753587126732,0.49767834693193436,0.5247823391109705,0.4965494517236948,0.5310956668108702,0.5448309071362019,0.5081858765333891,0.5210236646234989,0.5677315592765808,0.5570234879851341,0.5253045186400414,0.4694669656455517,0.5358640514314175,0.5236550681293011,9.0,0.6641783118247986,0.7020171582698822,9.0,0.6895219683647156,0.6485191881656647,9.0,0.5826726406812668,9.0,0.6348142921924591,9.0,9.0,0.6539947092533112,9.0,0.7409212291240692,9.0,0.7826714515686035,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
disarma,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
armi,covid19,9.0,0.4932734314352274,9.0,9.0,9.0,0.4936462249606848,0.4998360313475132,0.5446431562304497,0.48811329063028097,0.45695803686976433,0.5095793753862381,0.5125209707766771,0.5390605665743351,0.49986453354358673,0.5104594966396689,0.4735577441751957,0.5142756849527359,0.5514806732535362,0.49152911826968193,9.0,0.44240623712539673,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.5578795522451401,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
weapon,covid19,0.5370299704372883,0.4924470894038677,0.5566844269633293,0.48840314242988825,0.5059147663414478,0.47992439195513725,0.5379137247800827,0.5384243875741959,0.5253991857171059,0.5372934602200985,0.47234171256422997,0.5871406346559525,0.5283678062260151,0.4876514598727226,0.5606520995497704,9.0,0.5321822948753834,0.5209096688777208,9.0,0.5504692010581493,0.5493261627852917,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.8392398953437805,9.0,9.0,9.0,9.0
destruct,covid19,9.0,9.0,9.0,9.0,9.0,9.0,0.5566418096423149,9.0,9.0,0.491127697750926,0.5189364515244961,9.0,9.0,9.0,9.0,0.520425982773304,9.0,9.0,0.5076642474159598,0.5031065959483385,0.5207781586796045,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
bloodsh,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
rebellion,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
soldier,covid19,9.0,9.0,9.0,9.0,0.5343963839113712,0.5406425520777702,0.5162191577255726,9.0,0.5616527423262596,0.485636692494154,0.5140581084415317,0.5015481188893318,0.5077532343566418,0.5103006064891815,0.5394494831562042,0.5644640922546387,0.5457549542188644,0.48124590888619423,9.0,9.0,0.5244105085730553,0.5017321445047855,0.5208518914878368,9.0,9.0,0.6551129668951035,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
