0,1,0
wartim,covid19,0.48913906411267816
electromagnet,front,0.5146139995194972
electromagnet,hydroxychloroquin,0.5317127997986972
electromagnet,disinfect,0.5381982987746596
electromagnet,battl,0.49753630736571114
electromagnet,warzon,0.54215790447779
electromagnet,radiat,0.6446948343267044
electromagnet,chlorin,0.5365520683505262
electromagnet,warrior,0.5317960605025291
electromagnet,warfar,0.557634361476327
electromagnet,fighter,0.5418520597741008
electromagnet,attack,0.5469158212654293
electromagnet,bleach,0.5270531863595048
electromagnet,gun,0.5280921959007779
electromagnet,war,0.5052180512963483
electromagnet,battleground,0.5096975597552955
electromagnet,silver,0.5719115460912386
electromagnet,dryer,0.5587628100067377
electromagnet,militar,0.5484836240454266
electromagnet,militarili,0.4908937499858439
electromagnet,defenc,0.535536617351075
electromagnet,defens,0.5372095389757305
electromagnet,combat,0.5034348772993932
electromagnet,target,0.5404219994088635
electromagnet,defend,0.47642866816992563
electromagnet,covid19,0.5224885012333592
front,hydroxychloroquin,0.4926203002316005
front,disinfect,0.5242640743493282
front,battl,0.5671945483526752
front,warzon,0.5038092911676763
front,radiat,0.49685687756685254
front,chlorin,0.4908617098573648
front,warrior,0.5694156459962519
front,warfar,0.4850360526962994
front,fighter,0.5452665368435331
front,attack,0.524707593506229
front,bleach,0.506224272326038
front,gun,0.5119389601033897
front,war,0.5198374945892004
front,battleground,0.47580850920538703
front,silver,0.7349817705555604
front,dryer,0.4976473398018265
front,militar,0.5123571893088816
front,militarili,0.488031267747283
front,defenc,0.5491416537395428
front,defens,0.5673126225424662
front,combat,0.5182549423619863
front,target,0.503849944878871
front,defend,0.5183519838227277
front,covid19,0.49743091885550084
hydroxychloroquin,disinfect,0.5786744508337467
hydroxychloroquin,battl,0.510294310436485
hydroxychloroquin,warzon,0.5008655190429434
hydroxychloroquin,radiat,0.5769916138032134
hydroxychloroquin,chlorin,0.5871634067671272
hydroxychloroquin,warrior,0.5054143329517559
hydroxychloroquin,warfar,0.5080220503961678
hydroxychloroquin,fighter,0.5055683040297887
hydroxychloroquin,attack,0.5136357350745535
hydroxychloroquin,bleach,0.6295764946002276
hydroxychloroquin,gun,0.5196689443360578
hydroxychloroquin,war,0.509527024003043
hydroxychloroquin,battleground,0.49396440703680533
hydroxychloroquin,silver,0.49954542879292624
hydroxychloroquin,dryer,0.5280607960165454
hydroxychloroquin,militar,0.4737319701274497
hydroxychloroquin,militarili,0.4646739335730672
hydroxychloroquin,defenc,0.5076468733629766
hydroxychloroquin,defens,0.5102653728520616
hydroxychloroquin,combat,0.519612081050427
hydroxychloroquin,target,0.48578628372559524
hydroxychloroquin,defend,0.4926611882129169
hydroxychloroquin,covid19,0.49308135492499283
disinfect,battl,0.4797797167691617
disinfect,warzon,0.49853726686786914
disinfect,radiat,0.6033210482945344
disinfect,chlorin,0.6659977163442157
disinfect,warrior,0.49461613782197955
disinfect,warfar,0.5425732125284133
disinfect,fighter,0.5149340383404006
disinfect,attack,0.5004917794106475
disinfect,bleach,0.7142074137138059
disinfect,gun,0.5261224643327296
disinfect,war,0.4789686341682682
disinfect,battleground,0.4794059841050235
disinfect,silver,0.537227445672705
disinfect,dryer,0.654602774123593
disinfect,militar,0.5113327189997592
disinfect,militarili,0.48230493953451514
disinfect,defenc,0.549353668882619
disinfect,defens,0.5679409818806632
disinfect,combat,0.5417895156133454
disinfect,target,0.5169046013429929
disinfect,defend,0.48299509911829286
disinfect,covid19,0.4972764040128543
battl,warzon,0.5110329008117939
battl,radiat,0.4996445389193608
battl,chlorin,0.46282507103751414
battl,warrior,0.5939458798026093
battl,warfar,0.49116250256954047
battl,fighter,0.5698773734867035
battl,attack,0.5542473186953709
battl,bleach,0.46343718879283047
battl,gun,0.4871923419990568
battl,war,0.6020215499940185
battl,battleground,0.5225277227025641
battl,silver,0.5100196947415288
battl,dryer,0.47677631405886356
battl,militar,0.5057307761509289
battl,militarili,0.5158029618673027
battl,defenc,0.5208736606795216
battl,defens,0.5231470759765495
battl,combat,0.632166949315713
battl,target,0.473900781733951
battl,defend,0.5370560787862184
battl,covid19,0.4095261129461086
warzon,radiat,0.5271517711650328
warzon,chlorin,0.5061321307478163
warzon,warrior,0.5540509071062034
warzon,warfar,0.5362287620082498
warzon,fighter,0.5485345352854993
warzon,attack,0.5001968550002656
warzon,bleach,0.5215732710235493
warzon,gun,0.5083836619548189
warzon,war,0.5454767774790525
warzon,battleground,0.48556998493286835
warzon,silver,0.5265464574654793
warzon,dryer,0.5288117465510543
warzon,militar,0.5220310399661574
warzon,militarili,0.4694891878558944
warzon,defenc,0.5127884892992571
warzon,defens,0.49201022591377197
warzon,combat,0.4809884280904144
warzon,target,0.49882663019363666
warzon,defend,0.46869951961303336
warzon,covid19,0.5172156617692154
radiat,chlorin,0.5921910638412968
radiat,warrior,0.5160653842892946
radiat,warfar,0.575167144406945
radiat,fighter,0.5207567410028647
radiat,attack,0.5269559868835271
radiat,bleach,0.5901864548751081
radiat,gun,0.5300952898284707
radiat,war,0.5225129699862848
radiat,battleground,0.46167718924445345
radiat,silver,0.5368897851216249
radiat,dryer,0.5784023693456065
radiat,militar,0.5082468768021964
radiat,militarili,0.5038728858344257
radiat,defenc,0.527103001874191
radiat,defens,0.5181924164778768
radiat,combat,0.5005866824917925
radiat,target,0.5302856751301218
radiat,defend,0.47084461971042824
radiat,covid19,0.5496521461128185
chlorin,warrior,0.49512267049364955
chlorin,warfar,0.5440898181044428
chlorin,fighter,0.5169978286721744
chlorin,attack,0.5147539542363533
chlorin,bleach,0.6730164836838164
chlorin,gun,0.5321464136187305
chlorin,war,0.49971379418010736
chlorin,battleground,0.49455069093248594
chlorin,silver,0.5414448240705745
chlorin,dryer,0.6176370591339138
chlorin,militar,0.5194995717291022
chlorin,militarili,0.4920445277355611
chlorin,defenc,0.5216985199499917
chlorin,defens,0.5412451004905795
chlorin,combat,0.5149213399113663
chlorin,target,0.5357340075927575
chlorin,defend,0.4906337111321839
chlorin,covid19,0.5108208973818943
warrior,warfar,0.5159071331772094
warrior,fighter,0.5851287209527352
warrior,attack,0.5309223046474821
warrior,bleach,0.5198167107838134
warrior,gun,0.5098627308034338
warrior,war,0.5737806877721316
warrior,battleground,0.4860832566775333
warrior,silver,0.5369907728253076
warrior,dryer,0.5055669558336731
warrior,militar,0.5368486526967126
warrior,militarili,0.5156551564112306
warrior,defenc,0.5345853944604292
warrior,defens,0.523351697743727
warrior,combat,0.5236962237059533
warrior,target,0.47514075752405915
warrior,defend,0.5334910325204524
warrior,covid19,0.4866450346240666
warfar,fighter,0.5277966961775047
warfar,attack,0.6139345987914846
warfar,bleach,0.5226086662307632
warfar,gun,0.5430829835822806
warfar,war,0.6171020170530448
warfar,battleground,0.4857825549511092
warfar,silver,0.5110214264266408
warfar,dryer,0.515115297532913
warfar,militar,0.5836894514158051
warfar,militarili,0.5476417630445212
warfar,defenc,0.568410435111638
warfar,defens,0.5529373891566558
warfar,combat,0.5520309621032748
warfar,target,0.5773231467867915
warfar,defend,0.5487928888402306
warfar,covid19,0.49031514529353726
fighter,attack,0.5328575947821194
fighter,bleach,0.5265125763096596
fighter,gun,0.545127261269954
fighter,war,0.571759102301887
fighter,battleground,0.5032340149855767
fighter,silver,0.5175359395943815
fighter,dryer,0.5373794337643719
fighter,militar,0.5278841023998424
fighter,militarili,0.5018935519270599
fighter,defenc,0.5325409292753858
fighter,defens,0.545964347377706
fighter,combat,0.5049796189145687
fighter,target,0.4949337308750658
fighter,defend,0.5270933046099694
fighter,covid19,0.4824134585203585
attack,bleach,0.5217959641214782
attack,gun,0.5570077195477027
attack,war,0.6042866914179356
attack,battleground,0.5270290740907354
attack,silver,0.5050688111900504
attack,dryer,0.49452343523763576
attack,militar,0.5687263933087184
attack,militarili,0.5605703147419263
attack,defenc,0.5296048662298395
attack,defens,0.5273750450477774
attack,combat,0.524809027891024
attack,target,0.5738886242593603
attack,defend,0.604144763864147
attack,covid19,0.47715366778832574
bleach,gun,0.5586504066998784
bleach,war,0.5152338286705065
bleach,battleground,0.4733031203669152
bleach,silver,0.544559012872364
bleach,dryer,0.62513988284485
bleach,militar,0.4859098443672299
bleach,militarili,0.48334671310149135
bleach,defenc,0.5047807773640111
bleach,defens,0.522285708464691
bleach,combat,0.49059277814544305
bleach,target,0.5007852316932537
bleach,defend,0.5044862387596647
bleach,covid19,0.49631646203866137
gun,war,0.5543099763588264
gun,battleground,0.5248986694394894
gun,silver,0.5201207486142476
gun,dryer,0.550984199698333
gun,militar,0.558244531260843
gun,militarili,0.5351984628941864
gun,defenc,0.5099331419892573
gun,defens,0.5221775175316277
gun,combat,0.48499355879007805
gun,target,0.5356941242084409
gun,defend,0.5405544350684907
gun,covid19,0.5099781107251496
war,battleground,0.5091472258247213
war,silver,0.5150520839345588
war,dryer,0.4972701159124149
war,militar,0.5810522957843669
war,militarili,0.5685188706964255
war,defenc,0.5492521245469106
war,defens,0.5546045941980713
